entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,386665.26,4421,3160,1261,280915,105750.26,0.2852295860665008,0.27349304667298013,2023-06-26
Parti conservateur du Québec,2023,31883.55,517,383,134,24787.07,7096.48,0.25918762088974856,0.2225749642056797,2023-06-26
Parti libéral du Québec,2023,86367.73,1054,742,312,61091.73,25276,0.29601518026565465,0.29265560180868483,2023-06-26
Parti québécois,2023,413408.1,5588,4637,951,353917.94,59490.16,0.17018611309949894,0.14390177647704533,2023-06-26
Québec solidaire,2023,114618.72,1546,1267,279,97193.68,17425.04,0.18046571798188873,0.15202612627326498,2023-06-26
