entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,445264.86,5058,3584,1474,320198,125066.86,0.291419533412416,0.28088194518651216,2023-08-07
Parti conservateur du Québec,2023,41992.6,737,519,218,31868.12,10124.48,0.29579375848032563,0.24110152741197258,2023-08-07
Parti libéral du Québec,2023,134182.54,1718,1213,505,97063.21,37119.33,0.2939464493597206,0.27663308504966444,2023-08-07
Parti québécois,2023,487213.3,6599,5425,1174,414068.82,73144.48,0.17790574329443856,0.15012824978300057,2023-08-07
Québec solidaire,2023,134504.07,1787,1438,349,113330.13,21173.94,0.19529938444320089,0.15742229956312845,2023-08-07
