entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,439894.86,5003,3540,1463,315863,124031.86,0.2924245452728363,0.2819579660467049,2023-08-01
Parti conservateur du Québec,2023,41709.27,734,517,217,31659.79,10049.48,0.2956403269754768,0.24094116248018727,2023-08-01
Parti libéral du Québec,2023,130989.24,1677,1188,489,95088.24,35901,0.29159212880143115,0.27407594700144833,2023-08-01
Parti québécois,2023,479884.66,6496,5348,1148,408273.51,71611.15,0.17672413793103448,0.14922575353836065,2023-08-01
Québec solidaire,2023,132874.53,1775,1432,343,112051.92,20822.61,0.19323943661971832,0.1567088139465103,2023-08-01
