entite_politique,transfuges_entrants,transfuges_sortants,date
Coalition avenir Québec,77,36,2024-01-18
Parti conservateur du Québec,2,20,2024-01-18
Parti libéral du Québec,18,43,2024-01-18
Parti québécois,53,24,2024-01-18
Québec solidaire,5,32,2024-01-18
