entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,294406.88,3368,2536,832,224880,69526.88,0.24703087885985747,0.23615915497626958,2023-05-18
Parti conservateur du Québec,2023,27855.25,446,333,113,21833.77,6021.48,0.2533632286995516,0.21617038080792667,2023-05-18
Parti libéral du Québec,2023,63250.55,801,586,215,46869.55,16381,0.26841448189762795,0.2589858902412706,2023-05-18
Parti québécois,2023,308791.23,4118,3481,637,269148.73,39642.5,0.15468674113647402,0.12837961751698712,2023-05-18
Québec solidaire,2023,99954.56,1377,1151,226,85219.18,14735.38,0.16412490922294845,0.14742078800606995,2023-05-18
