entite_politique,annee_financiere,co_circ,nm_circ,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,104,Mégantic,4810,54,49,5,4455,355,0.09259259259259259,0.07380457380457381,2023-09-20
Coalition avenir Québec,2023,110,Saint-François,2630,30,28,2,2430,200,0.06666666666666667,0.07604562737642585,2023-09-20
Coalition avenir Québec,2023,116,Sherbrooke,2095,25,22,3,1875,220,0.12,0.10501193317422435,2023-09-20
Coalition avenir Québec,2023,120,Orford,2950,34,28,6,2595,355,0.17647058823529413,0.12033898305084746,2023-09-20
Coalition avenir Québec,2023,126,Johnson,1815,23,18,5,1460,355,0.21739130434782608,0.19559228650137742,2023-09-20
Coalition avenir Québec,2023,132,Richmond,2960,33,28,5,2600,360,0.15151515151515152,0.12162162162162163,2023-09-20
Coalition avenir Québec,2023,138,Drummond-Bois-Francs,2130,25,23,2,1930,200,0.08,0.09389671361502347,2023-09-20
Coalition avenir Québec,2023,144,Arthabaska,5865,65,58,7,5315,550,0.1076923076923077,0.0937766410912191,2023-09-20
Coalition avenir Québec,2023,150,Nicolet-Bécancour,6875,72,56,16,5275,1600,0.2222222222222222,0.23272727272727273,2023-09-20
Coalition avenir Québec,2023,204,Brome-Missisquoi,6700,77,65,12,5670,1030,0.15584415584415584,0.1537313432835821,2023-09-20
Coalition avenir Québec,2023,206,Granby,6362,74,62,12,5465,897,0.16216216216216217,0.14099339830242064,2023-09-20
Coalition avenir Québec,2023,210,Iberville,6435,99,50,49,4465,1970,0.494949494949495,0.3061383061383061,2023-09-20
Coalition avenir Québec,2023,212,Saint-Jean,5965,70,47,23,4275,1690,0.32857142857142857,0.28331936295054483,2023-09-20
Coalition avenir Québec,2023,216,Huntingdon,3565,41,26,15,2295,1270,0.36585365853658536,0.35624123422159887,2023-09-20
Coalition avenir Québec,2023,218,Beauharnois,8567,94,67,27,6500,2067,0.2872340425531915,0.24127465857359637,2023-09-20
Coalition avenir Québec,2023,220,Soulanges,4700,50,32,18,3200,1500,0.36,0.3191489361702128,2023-09-20
Coalition avenir Québec,2023,224,Vaudreuil,2015,24,16,8,1475,540,0.3333333333333333,0.2679900744416873,2023-09-20
Coalition avenir Québec,2023,226,Châteauguay,4235,56,32,24,2495,1740,0.42857142857142855,0.41086186540731995,2023-09-20
Coalition avenir Québec,2023,230,Sanguinet,3315,36,28,8,2655,660,0.2222222222222222,0.19909502262443438,2023-09-20
Coalition avenir Québec,2023,232,La Prairie,5225,55,36,19,3325,1900,0.34545454545454546,0.36363636363636365,2023-09-20
Coalition avenir Québec,2023,236,La Pinière,2185,25,11,14,1100,1085,0.56,0.4965675057208238,2023-09-20
Coalition avenir Québec,2023,238,Chambly,4610,55,32,23,2985,1625,0.41818181818181815,0.3524945770065076,2023-09-20
Coalition avenir Québec,2023,240,Vachon,2470,30,19,11,1595,875,0.36666666666666664,0.354251012145749,2023-09-20
