entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,733174,8110,5007,3103,457648,275526,0.3826140567200986,0.37579892358430605,2023-12-13
Parti conservateur du Québec,2023,51760.59,987,667,320,38357.44,13403.15,0.3242147922998987,0.2589450777125995,2023-12-13
Parti libéral du Québec,2023,243250.09,2952,1907,1045,160647.46,82602.63,0.35399728997289975,0.3395790316048804,2023-12-13
Parti québécois,2023,679285.57,9075,7233,1842,560465.86,118819.71,0.20297520661157026,0.1749186428323511,2023-12-13
Québec solidaire,2023,225887.32,3017,2279,738,183944.33,41942.99,0.24461385482267153,0.18568102893070756,2023-12-13
