entite_politique,parti_origine,n,date
Coalition avenir Québec,Parti conservateur du Québec,6,2023-11-14
Coalition avenir Québec,Parti libéral du Québec,31,2023-11-14
Coalition avenir Québec,Parti québécois,20,2023-11-14
Coalition avenir Québec,Québec solidaire,5,2023-11-14
Parti conservateur du Québec,Coalition avenir Québec,1,2023-11-14
Parti conservateur du Québec,Québec solidaire,1,2023-11-14
Parti libéral du Québec,Coalition avenir Québec,12,2023-11-14
Parti libéral du Québec,Parti conservateur du Québec,2,2023-11-14
Parti libéral du Québec,Parti québécois,1,2023-11-14
Parti libéral du Québec,Québec solidaire,2,2023-11-14
Parti québécois,Coalition avenir Québec,20,2023-11-14
Parti québécois,Parti conservateur du Québec,6,2023-11-14
Parti québécois,Québec solidaire,18,2023-11-14
Québec solidaire,Parti québécois,1,2023-11-14
