entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,576579,6412,4291,2121,388903,187676,0.3307860262008734,0.3254991943861986,2023-11-06
Parti conservateur du Québec,2023,50795.59,967,654,313,37564.11,13231.48,0.32368148914167527,0.2604848176780701,2023-11-06
Parti libéral du Québec,2023,176693.52,2222,1535,687,125520.88,51172.64,0.3091809180918092,0.2896124317405641,2023-11-06
Parti québécois,2023,599225.65,8031,6447,1584,498545.59,100680.06,0.19723571161748227,0.16801693986230395,2023-11-06
Québec solidaire,2023,195881.18,2579,2005,574,162774.73,33106.45,0.22256688639007366,0.1690129189542354,2023-11-06
