entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,799024,8782,5304,3478,487578,311446,0.39603734912320654,0.38978303530306974,2024-01-03
Parti conservateur du Québec,2023,55901.59,1071,723,348,41285.44,14616.15,0.32492997198879553,0.2614621516132189,2024-01-03
Parti libéral du Québec,2023,262864.67,3165,2019,1146,171570.38,91294.29,0.36208530805687206,0.3473052883067169,2024-01-03
Parti québécois,2023,733047.84,9793,7693,2100,597438.17,135609.67,0.21443888491779842,0.184994297234407,2024-01-03
Québec solidaire,2023,253095.63999999998,3393,2499,894,202197.68,50897.96,0.2634836427939876,0.20110168630324884,2024-01-03
