entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,385555.26,4409,3152,1257,280155,105400.26,0.2850986618280789,0.27337264183608856,2023-06-22
Parti conservateur du Québec,2023,31783.55,516,383,133,24787.07,6996.48,0.25775193798449614,0.22012896608465699,2023-06-22
Parti libéral du Québec,2023,84191.07,1031,735,296,60415.07,23776,0.2870999030067895,0.28240524796751004,2023-06-22
Parti québécois,2023,387920.8,5239,4379,860,334652.64,53268.16,0.16415346440160336,0.1373171018414068,2023-06-22
Québec solidaire,2023,113548.74,1533,1255,278,96148.7,17400.04,0.18134377038486627,0.15323851237803254,2023-06-22
