entite_politique,annee_financiere,co_circ,nm_circ,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif,diff_hier,diff_semaine
Coalition avenir Québec,2023,132,Richmond,1410,17,16,1,1400,10,0.0588235294117647,0.00709219858156028,2023-04-30,NA,NA
Coalition avenir Québec,2023,838,Rimouski,545,7,4,3,325,220,0.42857142857142855,0.4036697247706422,2023-04-30,NA,NA
Coalition avenir Québec,2023,834,Rivière-du-Loup-Témiscouata,2957,37,31,6,2545,412,0.16216216216216217,0.13933040243490025,2023-04-30,NA,NA
Coalition avenir Québec,2023,316,Robert-Baldwin,350,4,1,3,50,300,0.75,0.8571428571428571,2023-04-30,NA,NA
Coalition avenir Québec,2023,930,Roberval,1010,11,11,0,1010,0,0,0,2023-04-30,NA,NA
Coalition avenir Québec,2023,356,Rosemont,920,11,8,3,775,145,0.2727272727272727,0.15760869565217392,2023-04-30,NA,NA
Coalition avenir Québec,2023,576,Rousseau,1475,22,18,4,1200,275,0.18181818181818185,0.1864406779661017,2023-04-30,NA,NA
Coalition avenir Québec,2023,636,Rouyn-Noranda-Témiscamingue,630,7,6,1,600,30,0.14285714285714285,0.04761904761904761,2023-04-30,NA,NA
Coalition avenir Québec,2023,110,Saint-François,1030,13,12,1,930,100,0.07692307692307693,0.0970873786407767,2023-04-30,NA,NA
Coalition avenir Québec,2023,326,Saint-Henri-Sainte-Anne,1625,15,11,4,1300,325,0.26666666666666666,0.2,2023-04-30,NA,NA
Coalition avenir Québec,2023,260,Saint-Hyacinthe,1140,13,12,1,1120,20,0.07692307692307693,0.0175438596491228,2023-04-30,NA,NA
Coalition avenir Québec,2023,212,Saint-Jean,2475,29,22,7,1775,700,0.2413793103448276,0.2828282828282828,2023-04-30,NA,NA
Coalition avenir Québec,2023,526,Saint-Jérôme,1145,13,11,2,945,200,0.15384615384615383,0.17467248908296942,2023-04-30,NA,NA
Coalition avenir Québec,2023,318,Saint-Laurent,925,10,6,4,525,400,0.4,0.43243243243243246,2023-04-30,NA,NA
Coalition avenir Québec,2023,330,Sainte-Marie-Saint-Jacques,680,9,7,2,555,125,0.2222222222222222,0.18382352941176472,2023-04-30,NA,NA
Coalition avenir Québec,2023,470,Sainte-Rose,1122,13,9,4,820,302,0.3076923076923077,0.26916221033868093,2023-04-30,NA,NA
Coalition avenir Québec,2023,230,Sanguinet,910,11,9,2,850,60,0.18181818181818185,0.06593406593406594,2023-04-30,NA,NA
Coalition avenir Québec,2023,116,Sherbrooke,1180,15,13,2,1060,120,0.13333333333333333,0.1016949152542373,2023-04-30,NA,NA
Coalition avenir Québec,2023,220,Soulanges,1800,18,15,3,1500,300,0.16666666666666666,0.16666666666666666,2023-04-30,NA,NA
Coalition avenir Québec,2023,250,Taillon,2800,30,20,10,1800,1000,0.3333333333333333,0.35714285714285715,2023-04-30,NA,NA
Coalition avenir Québec,2023,730,Taschereau,4971,51,42,9,4120,851,0.17647058823529413,0.1711929189297928,2023-04-30,NA,NA
Coalition avenir Québec,2023,542,Terrebonne,4095,46,30,16,2720,1375,0.34782608695652173,0.33577533577533575,2023-04-30,NA,NA
Coalition avenir Québec,2023,660,Trois-Rivières,2642,31,26,5,2315,327,0.16129032258064516,0.12376987130961394,2023-04-30,NA,NA
Coalition avenir Québec,2023,938,Ungava,1020,11,11,0,1020,0,0,0,2023-04-30,NA,NA
Coalition avenir Québec,2023,240,Vachon,1975,22,14,8,1250,725,0.3636363636363637,0.3670886075949367,2023-04-30,NA,NA
Coalition avenir Québec,2023,726,Vanier-Les Rivières,1895,21,15,6,1345,550,0.2857142857142857,0.29023746701846964,2023-04-30,NA,NA
Coalition avenir Québec,2023,224,Vaudreuil,1075,12,10,2,1000,75,0.16666666666666666,0.06976744186046512,2023-04-30,NA,NA
Coalition avenir Québec,2023,256,Verchères,3320,40,26,14,2370,950,0.35,0.286144578313253,2023-04-30,NA,NA
Coalition avenir Québec,2023,300,Verdun,1850,21,11,10,1025,825,0.47619047619047616,0.44594594594594594,2023-04-30,NA,NA
Coalition avenir Québec,2023,358,Viau,350,4,2,2,150,200,0.5,0.5714285714285714,2023-04-30,NA,NA
Coalition avenir Québec,2023,476,Vimont,505,9,6,3,410,95,0.3333333333333333,0.18811881188118812,2023-04-30,NA,NA
Coalition avenir Québec,2023,332,Westmount-Saint-Louis,1600,16,13,3,1300,300,0.1875,0.1875,2023-04-30,NA,NA
Coalition avenir Québec,2023,858,Îles-de-la-Madeleine,330,5,5,0,330,0,0,0,2023-04-30,NA,NA
Coalition avenir Québec,2023,NA,NA,300,3,1,2,100,200,0.6666666666666666,0.6666666666666666,2023-04-30,NA,NA
