entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,626739,6967,4546,2421,412598,214141,0.34749533515142816,0.3416749236923185,2023-11-15
Parti conservateur du Québec,2023,50975.59,970,656,314,37714.11,13261.48,0.3237113402061856,0.2601535362317533,2023-11-15
Parti libéral du Québec,2023,198868.52,2467,1683,784,139885.88,58982.64,0.3177948925820835,0.296591134685369,2023-11-15
Parti québécois,2023,620395.64,8305,6646,1659,513869.58,106526.06,0.19975918121613487,0.17170665480498862,2023-11-15
Québec solidaire,2023,203377.13,2678,2074,604,168142.35,35234.78,0.22554144884241972,0.173248486690711,2023-11-15
