entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,707434,7840,4900,2940,447198,260236,0.375,0.36785905116236994,2023-12-04
Parti conservateur du Québec,2023,51585.59,984,666,318,38249.11,13336.48,0.3231707317073171,0.2585311130492062,2023-12-04
Parti libéral du Québec,2023,228240.1,2791,1837,954,154315.8,73924.3,0.341812970261555,0.32388830884669256,2023-12-04
Parti québécois,2023,667253.6,8903,7104,1799,550847.22,116406.38,0.20206671908345503,0.17445597895612705,2023-12-04
Québec solidaire,2023,216667.49,2876,2193,683,177662.82,39004.67,0.2374826147426982,0.18002086976684872,2023-12-04
