entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,460866.03,5228,3699,1529,330763,130103.03,0.2924636572302984,0.28230119282169697,2023-09-08
Parti conservateur du Québec,2023,43665.93,762,532,230,32886.45,10779.48,0.30183727034120733,0.24686248523734636,2023-09-08
Parti libéral du Québec,2023,151958.09,1929,1363,566,110097.1,41860.99,0.29341627786417834,0.2754772055900413,2023-09-08
Parti québécois,2023,519197.53,7013,5724,1289,438269.73,80927.8,0.18380151147868246,0.15587092642755832,2023-09-08
Québec solidaire,2023,145391.46,1902,1516,386,122315.1,23076.36,0.20294426919032596,0.15871881333332785,2023-09-08
