entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,560534,6244,4215,2029,381478,179056,0.3249519538757207,0.31943824995450765,2023-10-30
Parti conservateur du Québec,2023,50687.26,964,652,312,37480.78,13206.48,0.3236514522821577,0.2605483113508207,2023-10-30
Parti libéral du Québec,2023,173571.92,2186,1521,665,124037.61,49534.31,0.3042086001829826,0.28538204797181477,2023-10-30
Parti québécois,2023,588666.68,7875,6319,1556,489639.95,99026.73,0.1975873015873016,0.1682220743324558,2023-10-30
Québec solidaire,2023,179907.98,2348,1828,520,149887.52,30020.46,0.22146507666098808,0.1668656387559907,2023-10-30
