entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,814319,8937,5380,3557,495223,319096,0.39800828018350676,0.39185626271768187,2024-01-14
Parti conservateur du Québec,2023,56794.92,1081,729,352,41828.77,14966.15,0.32562442183163737,0.26351212397165097,2024-01-14
Parti libéral du Québec,2023,270598.64,3259,2069,1190,176284.02,94314.62,0.3651426818042344,0.3485406282899278,2024-01-14
Parti québécois,2023,765738.81,10233,8030,2203,623082.48,142656.33,0.21528388546858204,0.18629894180236206,2024-01-14
Québec solidaire,2023,275535.45,3716,2708,1008,218683.52,56851.93,0.271259418729817,0.2063325426909677,2024-01-14
