entite_politique,transfuges_entrants,transfuges_sortants,date
Coalition avenir Québec,76,35,2023-12-28
Parti conservateur du Québec,2,18,2023-12-28
Parti libéral du Québec,17,42,2023-12-28
Parti québécois,51,25,2023-12-28
Québec solidaire,4,30,2023-12-28
