entite_politique,annee_financiere,montant_cumulatif,date_cumulatif
Coalition avenir Québec,2023,217596.57,2023-04-27
Parti conservateur du Québec,2023,19504.45,2023-04-27
Parti libéral du Québec,2023,46343.95,2023-04-27
Parti québécois,2023,253564.26,2023-04-27
Québec solidaire,2023,83400.78,2023-04-27
