entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,241959.34,2792,2157,635,190405,51554.34,0.22743553008595987,0.21307026213577868,2023-05-07
Parti conservateur du Québec,2023,20461.74,267,203,64,16117.51,4344.23,0.2397003745318352,0.21230990130849084,2023-05-07
Parti libéral du Québec,2023,51902.22,642,492,150,39936.22,11966,0.2336448598130841,0.23054890522987262,2023-05-07
Parti québécois,2023,267679.57,3512,2967,545,232859.07,34820.5,0.15518223234624146,0.13008277023158696,2023-05-07
Québec solidaire,2023,85355.61,1177,1009,168,73800.23,11555.38,0.1427357689039932,0.13537926798250283,2023-05-07
