entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,461621.8,5236,3704,1532,331213,130408.8,0.29258976317799845,0.28250138966573934,2023-09-11
Parti conservateur du Québec,2023,43775.93,764,534,230,32996.45,10779.48,0.3010471204188482,0.2462421700692595,2023-09-11
Parti libéral du Québec,2023,152908.09,1942,1374,568,110972.1,41935.99,0.2924819773429454,0.2742561887994285,2023-09-11
Parti québécois,2023,520774.19,7032,5737,1295,439451.39,81322.8,0.18415813424345848,0.15615750849710888,2023-09-11
Québec solidaire,2023,145852.76,1907,1520,387,122718.07,23134.69,0.20293654955427373,0.15861674472255444,2023-09-11
