entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,752619,8318,5088,3230,465523,287096,0.38831449867756673,0.38146259927001575,2023-12-19
Parti conservateur du Québec,2023,53788.59,1023,693,330,39984.44,13804.15,0.3225806451612903,0.2566371418176234,2023-12-19
Parti libéral du Québec,2023,249878.42,3025,1957,1068,165280.79,84597.63,0.35305785123966943,0.3385551661484013,2023-12-19
Parti québécois,2023,697778.9,9323,7417,1906,574247.19,123531.71,0.2044406306982731,0.17703560540451999,2023-12-19
Québec solidaire,2023,232493.31,3103,2328,775,188281.99,44211.32,0.249758298420883,0.19016168680294498,2023-12-19
