entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,796319,8755,5301,3454,487183,309136,0.3945174186179326,0.3882062339338883,2024-01-01
Parti conservateur du Québec,2023,55731.59,1068,721,347,41215.44,14516.15,0.3249063670411985,0.26046538417439735,2024-01-01
Parti libéral du Québec,2023,261764.67,3154,2035,1119,172730.38,89034.29,0.3547875713379835,0.3401310421303226,2024-01-01
Parti québécois,2023,729727.84,9755,7768,1987,600996.81,128731.03,0.20369041517170683,0.17640964609490575,2024-01-01
Québec solidaire,2023,247800.63999999998,3311,2453,858,198857.68,48942.96,0.2591362126245847,0.19750941724767138,2024-01-01
