entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,495089,5577,3887,1690,349423,145666,0.30303030303030304,0.29422184698104786,2023-10-05
Parti conservateur du Québec,2023,46250.93,809,559,250,34441.45,11809.48,0.30902348578491967,0.25533497380485104,2023-10-05
Parti libéral du Québec,2023,165937.34,2087,1466,621,119368.02,46569.32,0.2975563009103977,0.280644006948647,2023-10-05
Parti québécois,2023,549384.12,7357,5962,1395,460315.33,89068.79,0.18961533233655023,0.16212479894759244,2023-10-05
Québec solidaire,2023,160492.02,2094,1660,434,134609.52,25882.5,0.2072588347659981,0.1612697005122124,2023-10-05
