entite_politique,transfuges_entrants,transfuges_sortants,date
Coalition avenir Québec,77,37,2024-01-21
Parti conservateur du Québec,2,20,2024-01-21
Parti libéral du Québec,18,43,2024-01-21
Parti québécois,56,24,2024-01-21
Québec solidaire,5,34,2024-01-21
