entite_politique,transfuges_entrants,transfuges_sortants,date
Coalition avenir Québec,77,35,2024-01-13
Parti conservateur du Québec,2,20,2024-01-13
Parti libéral du Québec,18,43,2024-01-13
Parti québécois,52,24,2024-01-13
Québec solidaire,5,32,2024-01-13
