entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,439039.51,4995,3534,1461,315263,123776.51,0.2924924924924925,0.2819256745252836,2023-07-27
Parti conservateur du Québec,2023,41629.27,732,516,216,31619.79,10009.48,0.29508196721311475,0.24044332269098162,2023-07-27
Parti libéral du Québec,2023,129155.94,1656,1175,481,93954.94,35201,0.29045893719806765,0.2725465046361786,2023-07-27
Parti québécois,2023,477828,6464,5325,1139,406671.85,71156.15,0.17620668316831684,0.1489158232669496,2023-07-27
Québec solidaire,2023,132642.91,1774,1431,343,111833.63,20809.28,0.19334836527621196,0.15688196225489925,2023-07-27
