entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,440979.86,5014,3551,1463,316948,124031.86,0.2917830075787794,0.28126422825749914,2023-08-02
Parti conservateur du Québec,2023,41709.27,734,517,217,31659.79,10049.48,0.2956403269754768,0.24094116248018727,2023-08-02
Parti libéral du Québec,2023,131039.24,1678,1189,489,95138.24,35901,0.29141835518474374,0.27397136918681764,2023-08-02
Parti québécois,2023,480209.66,6500,5352,1148,408598.51,71611.15,0.17661538461538462,0.14912475938114197,2023-08-02
Québec solidaire,2023,133074.53,1777,1433,344,112151.92,20922.61,0.1935846933033202,0.1572247521745897,2023-08-02
