entite_politique,parti_origine,n,date
Coalition avenir Québec,Parti conservateur du Québec,7,2024-01-16
Coalition avenir Québec,Parti libéral du Québec,43,2024-01-16
Coalition avenir Québec,Parti québécois,21,2024-01-16
Coalition avenir Québec,Québec solidaire,6,2024-01-16
Parti conservateur du Québec,Coalition avenir Québec,1,2024-01-16
Parti conservateur du Québec,Québec solidaire,1,2024-01-16
Parti libéral du Québec,Coalition avenir Québec,10,2024-01-16
Parti libéral du Québec,Parti conservateur du Québec,4,2024-01-16
Parti libéral du Québec,Parti québécois,1,2024-01-16
Parti libéral du Québec,Québec solidaire,3,2024-01-16
Parti québécois,Coalition avenir Québec,23,2024-01-16
Parti québécois,Parti conservateur du Québec,7,2024-01-16
Parti québécois,Québec solidaire,22,2024-01-16
Québec solidaire,Coalition avenir Québec,1,2024-01-16
Québec solidaire,Parti conservateur du Québec,2,2024-01-16
Québec solidaire,Parti québécois,2,2024-01-16
