entite_politique,transfuges_entrants,transfuges_sortants,date
Coalition avenir Québec,78,35,2023-12-29
Parti conservateur du Québec,2,18,2023-12-29
Parti libéral du Québec,17,43,2023-12-29
Parti québécois,51,25,2023-12-29
Québec solidaire,4,31,2023-12-29
