entite_politique,annee_financiere,co_circ,nm_circ,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,104,Mégantic,10490,110,85,25,8135,2355,0.22727272727272727,0.22449952335557674,2023-11-14
Coalition avenir Québec,2023,110,Saint-François,4330,47,38,9,3430,900,0.19148936170212766,0.20785219399538107,2023-11-14
Coalition avenir Québec,2023,116,Sherbrooke,3095,35,26,9,2275,820,0.2571428571428571,0.2649434571890145,2023-11-14
Coalition avenir Québec,2023,120,Orford,5930,66,45,21,4295,1635,0.3181818181818182,0.275716694772344,2023-11-14
Coalition avenir Québec,2023,126,Johnson,4765,52,35,17,3160,1605,0.3269230769230769,0.33683105981112277,2023-11-14
Coalition avenir Québec,2023,132,Richmond,5485,59,39,20,3700,1785,0.3389830508474576,0.325432999088423,2023-11-14
Coalition avenir Québec,2023,138,Drummond-Bois-Francs,4930,53,41,12,3730,1200,0.22641509433962265,0.2434077079107505,2023-11-14
Coalition avenir Québec,2023,144,Arthabaska,6715,74,65,9,5965,750,0.12162162162162163,0.11169024571854058,2023-11-14
Coalition avenir Québec,2023,150,Nicolet-Bécancour,9125,95,70,25,6625,2500,0.2631578947368421,0.273972602739726,2023-11-14
Coalition avenir Québec,2023,204,Brome-Missisquoi,11595,125,92,33,8525,3070,0.264,0.26476929711082364,2023-11-14
Coalition avenir Québec,2023,206,Granby,6892,81,65,16,5675,1217,0.19753086419753085,0.1765815438189205,2023-11-14
Coalition avenir Québec,2023,210,Iberville,12290,154,70,84,6635,5655,0.5454545454545454,0.46013018714401954,2023-11-14
Coalition avenir Québec,2023,212,Saint-Jean,9240,105,56,49,5025,4215,0.4666666666666667,0.45616883116883117,2023-11-14
Coalition avenir Québec,2023,216,Huntingdon,8340,89,49,40,4595,3745,0.449438202247191,0.4490407673860911,2023-11-14
Coalition avenir Québec,2023,218,Beauharnois,9067,99,68,31,6600,2467,0.31313131313131315,0.2720855850887835,2023-11-14
Coalition avenir Québec,2023,220,Soulanges,7400,77,41,36,4100,3300,0.4675324675324675,0.44594594594594594,2023-11-14
Coalition avenir Québec,2023,224,Vaudreuil,2865,32,18,14,1725,1140,0.4375,0.39790575916230364,2023-11-14
Coalition avenir Québec,2023,226,Châteauguay,5475,68,35,33,2795,2680,0.4852941176470588,0.4894977168949772,2023-11-14
Coalition avenir Québec,2023,230,Sanguinet,5890,62,35,27,3355,2535,0.43548387096774194,0.4303904923599321,2023-11-14
Coalition avenir Québec,2023,232,La Prairie,6970,73,41,32,3850,3120,0.4383561643835616,0.44763271162123386,2023-11-14
Coalition avenir Québec,2023,236,La Pinière,2385,27,11,16,1100,1285,0.5925925925925926,0.5387840670859538,2023-11-14
Coalition avenir Québec,2023,238,Chambly,5445,65,37,28,3410,2035,0.4307692307692308,0.37373737373737376,2023-11-14
Coalition avenir Québec,2023,240,Vachon,2970,35,21,14,1795,1175,0.4,0.3956228956228956,2023-11-14
Coalition avenir Québec,2023,244,Laporte,5350,56,31,25,2850,2500,0.44642857142857145,0.4672897196261682,2023-11-14
Coalition avenir Québec,2023,246,Marie-Victorin,3725,44,28,16,2200,1525,0.36363636363636365,0.40939597315436244,2023-11-14
Coalition avenir Québec,2023,250,Taillon,4620,51,33,18,2975,1645,0.35294117647058826,0.3560606060606061,2023-11-14
Coalition avenir Québec,2023,252,Montarville,7210,76,54,22,5110,2100,0.2894736842105263,0.2912621359223301,2023-11-14
Coalition avenir Québec,2023,256,Verchères,5985,71,49,22,4520,1465,0.30985915492957744,0.24477861319966582,2023-11-14
Coalition avenir Québec,2023,258,Borduas,6505,71,51,20,4750,1755,0.28169014084507044,0.2697924673328209,2023-11-14
Coalition avenir Québec,2023,260,Saint-Hyacinthe,3440,36,29,7,2820,620,0.19444444444444445,0.18023255813953487,2023-11-14
Coalition avenir Québec,2023,264,Richelieu,6445,71,57,14,5120,1325,0.19718309859154928,0.20558572536850273,2023-11-14
Coalition avenir Québec,2023,300,Verdun,4880,53,31,22,2935,1945,0.41509433962264153,0.3985655737704918,2023-11-14
Coalition avenir Québec,2023,304,Marguerite-Bourgeoys,1025,13,7,6,650,375,0.46153846153846156,0.36585365853658536,2023-11-14
Coalition avenir Québec,2023,306,Marquette,1625,17,12,5,1200,425,0.29411764705882354,0.26153846153846155,2023-11-14
Coalition avenir Québec,2023,310,Jacques-Cartier,525,7,5,2,420,105,0.2857142857142857,0.2,2023-11-14
Coalition avenir Québec,2023,312,Nelligan,1045,15,11,4,665,380,0.26666666666666666,0.36363636363636365,2023-11-14
Coalition avenir Québec,2023,316,Robert-Baldwin,1300,14,7,7,600,700,0.5,0.5384615384615384,2023-11-14
Coalition avenir Québec,2023,318,Saint-Laurent,3330,35,19,16,1730,1600,0.45714285714285713,0.4804804804804805,2023-11-14
Coalition avenir Québec,2023,320,D'Arcy-McGee,1640,17,7,10,640,1000,0.5882352941176471,0.6097560975609756,2023-11-14
Coalition avenir Québec,2023,324,Notre-Dame-de-Grâce,1540,17,9,8,900,640,0.47058823529411764,0.4155844155844156,2023-11-14
Coalition avenir Québec,2023,326,Saint-Henri-Sainte-Anne,4085,39,27,12,3000,1085,0.3076923076923077,0.26560587515299877,2023-11-14
Coalition avenir Québec,2023,330,Sainte-Marie-Saint-Jacques,2300,25,16,9,1475,825,0.36,0.358695652173913,2023-11-14
Coalition avenir Québec,2023,332,Westmount-Saint-Louis,5200,52,32,20,3200,2000,0.38461538461538464,0.38461538461538464,2023-11-14
Coalition avenir Québec,2023,336,Mont-Royal-Outremont,7400,76,52,24,5000,2400,0.3157894736842105,0.32432432432432434,2023-11-14
Coalition avenir Québec,2023,338,Acadie,1300,13,7,6,700,600,0.46153846153846156,0.46153846153846156,2023-11-14
Coalition avenir Québec,2023,340,Maurice-Richard,2775,29,20,9,1950,825,0.3103448275862069,0.2972972972972973,2023-11-14
Coalition avenir Québec,2023,344,Laurier-Dorion,925,10,7,3,700,225,0.3,0.24324324324324326,2023-11-14
Coalition avenir Québec,2023,346,Gouin,2235,25,17,8,1435,800,0.32,0.3579418344519016,2023-11-14
Coalition avenir Québec,2023,350,Mercier,1950,20,12,8,1150,800,0.4,0.41025641025641024,2023-11-14
Coalition avenir Québec,2023,352,Hochelaga-Maisonneuve,2200,23,16,7,1550,650,0.30434782608695654,0.29545454545454547,2023-11-14
Coalition avenir Québec,2023,356,Rosemont,3005,34,20,14,1760,1245,0.4117647058823529,0.41430948419301167,2023-11-14
Coalition avenir Québec,2023,358,Viau,575,7,2,5,150,425,0.7142857142857143,0.7391304347826086,2023-11-14
