entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,700039,7763,4874,2889,444623,255416,0.3721499420327193,0.3648596721039828,2023-12-01
Parti conservateur du Québec,2023,51585.59,984,666,318,38249.11,13336.48,0.3231707317073171,0.2585311130492062,2023-12-01
Parti libéral du Québec,2023,223816.8,2742,1805,937,151267.5,72549.3,0.34172137126185265,0.32414590861811987,2023-12-01
Parti québécois,2023,662185.25,8844,7054,1790,546383.87,115801.38,0.20239710538218,0.17487761921607284,2023-12-01
Québec solidaire,2023,215054.18,2853,2179,674,176624.51,38429.67,0.23624255169996494,0.17869761936271128,2023-12-01
