entite_politique,annee_financiere,co_circ,nm_circ,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,104,Mégantic,11590,121,91,30,8735,2855,0.24793388429752067,0.2463330457290768,2023-11-27
Coalition avenir Québec,2023,110,Saint-François,4930,54,43,11,3830,1100,0.2037037037037037,0.2231237322515213,2023-11-27
Coalition avenir Québec,2023,116,Sherbrooke,3445,39,28,11,2425,1020,0.28205128205128205,0.2960812772133527,2023-11-27
Coalition avenir Québec,2023,120,Orford,8055,87,55,32,5345,2710,0.367816091954023,0.33643699565487273,2023-11-27
Coalition avenir Québec,2023,126,Johnson,4865,53,35,18,3160,1705,0.33962264150943394,0.35046248715313466,2023-11-27
Coalition avenir Québec,2023,132,Richmond,6885,73,44,29,4200,2685,0.3972602739726027,0.3899782135076253,2023-11-27
Coalition avenir Québec,2023,138,Drummond-Bois-Francs,5480,58,46,12,4280,1200,0.20689655172413793,0.21897810218978103,2023-11-27
Coalition avenir Québec,2023,144,Arthabaska,6815,75,66,9,6065,750,0.12,0.11005135730007337,2023-11-27
Coalition avenir Québec,2023,150,Nicolet-Bécancour,9625,100,73,27,6925,2700,0.27,0.2805194805194805,2023-11-27
Coalition avenir Québec,2023,204,Brome-Missisquoi,11895,128,94,34,8725,3170,0.265625,0.26649852879361074,2023-11-27
Coalition avenir Québec,2023,206,Granby,6992,82,66,16,5775,1217,0.1951219512195122,0.17405606407322655,2023-11-27
Coalition avenir Québec,2023,210,Iberville,12490,156,71,85,6735,5755,0.5448717948717948,0.4607686148919135,2023-11-27
Coalition avenir Québec,2023,212,Saint-Jean,9440,107,57,50,5075,4365,0.4672897196261682,0.4623940677966102,2023-11-27
Coalition avenir Québec,2023,216,Huntingdon,8840,94,49,45,4595,4245,0.4787234042553192,0.4802036199095023,2023-11-27
Coalition avenir Québec,2023,218,Beauharnois,9217,101,69,32,6700,2517,0.31683168316831684,0.2730823478355213,2023-11-27
Coalition avenir Québec,2023,220,Soulanges,7600,79,43,36,4300,3300,0.45569620253164556,0.4342105263157895,2023-11-27
Coalition avenir Québec,2023,224,Vaudreuil,2965,33,18,15,1725,1240,0.45454545454545453,0.418212478920742,2023-11-27
Coalition avenir Québec,2023,226,Châteauguay,6135,76,42,34,3445,2690,0.4473684210526316,0.4384678076609617,2023-11-27
Coalition avenir Québec,2023,230,Sanguinet,6690,70,41,29,3955,2735,0.4142857142857143,0.40881913303437967,2023-11-27
Coalition avenir Québec,2023,232,La Prairie,8520,92,52,40,4725,3795,0.43478260869565216,0.4454225352112676,2023-11-27
Coalition avenir Québec,2023,236,La Pinière,2560,29,11,18,1100,1460,0.6206896551724138,0.5703125,2023-11-27
Coalition avenir Québec,2023,238,Chambly,5620,67,37,30,3410,2210,0.44776119402985076,0.3932384341637011,2023-11-27
Coalition avenir Québec,2023,240,Vachon,3010,37,21,16,1795,1215,0.43243243243243246,0.40365448504983387,2023-11-27
Coalition avenir Québec,2023,244,Laporte,6200,65,36,29,3325,2875,0.4461538461538462,0.4637096774193548,2023-11-27
Coalition avenir Québec,2023,246,Marie-Victorin,3825,45,28,17,2200,1625,0.37777777777777777,0.42483660130718953,2023-11-27
Coalition avenir Québec,2023,250,Taillon,4895,55,34,21,3075,1820,0.38181818181818183,0.3718079673135853,2023-11-27
