entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,503064,5659,3920,1739,352418,150646,0.3072981092065736,0.2994569279455497,2023-10-10
Parti conservateur du Québec,2023,46374.26,810,560,250,34564.78,11809.48,0.30864197530864196,0.25465592335058285,2023-10-10
Parti libéral du Québec,2023,168100.64,2110,1480,630,120647.99,47452.65,0.2985781990521327,0.2822871465569673,2023-10-10
Parti québécois,2023,553434.43,7408,5994,1414,463052.31,90382.12,0.19087473002159827,0.1633113429534913,2023-10-10
Québec solidaire,2023,164551.89,2140,1689,451,137696.4,26855.49,0.21074766355140187,0.16320377724011556,2023-10-10
