entite_politique,annee_financiere,co_circ,nm_circ,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,104,Mégantic,12090,126,94,32,9035,3055,0.25396825396825395,0.25268817204301075,2023-12-03
Coalition avenir Québec,2023,110,Saint-François,4980,54,43,11,3880,1100,0.2037037037037037,0.22088353413654618,2023-12-03
Coalition avenir Québec,2023,116,Sherbrooke,3545,40,28,12,2425,1120,0.3,0.3159379407616361,2023-12-03
Coalition avenir Québec,2023,120,Orford,8555,92,56,36,5445,3110,0.391304347826087,0.3635300993571011,2023-12-03
Coalition avenir Québec,2023,126,Johnson,5095,56,36,20,3260,1835,0.35714285714285715,0.3601570166830226,2023-12-03
Coalition avenir Québec,2023,132,Richmond,6885,73,44,29,4200,2685,0.3972602739726027,0.3899782135076253,2023-12-03
Coalition avenir Québec,2023,138,Drummond-Bois-Francs,5580,59,47,12,4380,1200,0.2033898305084746,0.21505376344086022,2023-12-03
Coalition avenir Québec,2023,144,Arthabaska,7015,77,67,10,6165,850,0.12987012987012986,0.12116892373485388,2023-12-03
Coalition avenir Québec,2023,150,Nicolet-Bécancour,9625,100,73,27,6925,2700,0.27,0.2805194805194805,2023-12-03
Coalition avenir Québec,2023,204,Brome-Missisquoi,11995,129,95,34,8825,3170,0.26356589147286824,0.2642767819924969,2023-12-03
Coalition avenir Québec,2023,206,Granby,6992,82,66,16,5775,1217,0.1951219512195122,0.17405606407322655,2023-12-03
Coalition avenir Québec,2023,210,Iberville,12490,156,71,85,6735,5755,0.5448717948717948,0.4607686148919135,2023-12-03
Coalition avenir Québec,2023,212,Saint-Jean,9540,108,57,51,5075,4465,0.4722222222222222,0.46802935010482183,2023-12-03
Coalition avenir Québec,2023,216,Huntingdon,8840,94,49,45,4595,4245,0.4787234042553192,0.4802036199095023,2023-12-03
Coalition avenir Québec,2023,218,Beauharnois,9217,101,69,32,6700,2517,0.31683168316831684,0.2730823478355213,2023-12-03
Coalition avenir Québec,2023,220,Soulanges,7700,80,44,36,4400,3300,0.45,0.42857142857142855,2023-12-03
Coalition avenir Québec,2023,224,Vaudreuil,3065,34,19,15,1825,1240,0.4411764705882353,0.40456769983686786,2023-12-03
Coalition avenir Québec,2023,226,Châteauguay,6435,79,44,35,3645,2790,0.4430379746835443,0.43356643356643354,2023-12-03
Coalition avenir Québec,2023,230,Sanguinet,6970,74,42,32,4055,2915,0.43243243243243246,0.4182209469153515,2023-12-03
Coalition avenir Québec,2023,232,La Prairie,8670,94,52,42,4725,3945,0.44680851063829785,0.45501730103806226,2023-12-03
Coalition avenir Québec,2023,236,La Pinière,2740,30,11,19,1100,1640,0.6333333333333333,0.5985401459854015,2023-12-03
Coalition avenir Québec,2023,238,Chambly,5720,68,38,30,3510,2210,0.4411764705882353,0.38636363636363635,2023-12-03
Coalition avenir Québec,2023,240,Vachon,3110,38,21,17,1795,1315,0.4473684210526316,0.4228295819935691,2023-12-03
Coalition avenir Québec,2023,244,Laporte,6300,66,36,30,3325,2975,0.45454545454545453,0.4722222222222222,2023-12-03
Coalition avenir Québec,2023,246,Marie-Victorin,3825,45,28,17,2200,1625,0.37777777777777777,0.42483660130718953,2023-12-03
Coalition avenir Québec,2023,250,Taillon,4895,55,34,21,3075,1820,0.38181818181818183,0.3718079673135853,2023-12-03
Coalition avenir Québec,2023,252,Montarville,7760,82,57,25,5360,2400,0.3048780487804878,0.30927835051546393,2023-12-03
Coalition avenir Québec,2023,256,Verchères,6635,79,54,25,4945,1690,0.31645569620253167,0.25470987189148453,2023-12-03
Coalition avenir Québec,2023,258,Borduas,8255,90,63,27,5900,2355,0.3,0.2852816474863719,2023-12-03
Coalition avenir Québec,2023,260,Saint-Hyacinthe,3440,36,29,7,2820,620,0.19444444444444445,0.18023255813953487,2023-12-03
Coalition avenir Québec,2023,264,Richelieu,6445,71,57,14,5120,1325,0.19718309859154928,0.20558572536850273,2023-12-03
Coalition avenir Québec,2023,300,Verdun,5380,58,36,22,3435,1945,0.3793103448275862,0.36152416356877326,2023-12-03
