entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,412908.73,4708,3359,1349,299383,113525.73,0.28653355989804585,0.27494146224517946,2023-07-05
Parti conservateur du Québec,2023,39607.81,682,490,192,30329.33,9278.48,0.28152492668621704,0.23425884945418593,2023-07-05
Parti libéral du Québec,2023,99274.69,1230,865,365,70623.69,28651,0.2967479674796748,0.28860326836578387,2023-07-05
Parti québécois,2023,438545.76,5931,4920,1011,375280.6,63265.16,0.17046029337379867,0.14426125109498267,2023-07-05
Québec solidaire,2023,121921.31999999999,1647,1344,303,103143.95,18777.37,0.18397085610200364,0.15401219409369912,2023-07-05
