entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,428858.88,4888,3463,1425,308693,120165.88,0.2915302782324059,0.28019911818078713,2023-07-14
Parti conservateur du Québec,2023,40742.14,720,510,210,31067.66,9674.48,0.2916666666666667,0.2374563535445119,2023-07-14
Parti libéral du Québec,2023,113787.99,1484,1046,438,82096.99,31691,0.29514824797843664,0.2785091818565386,2023-07-14
Parti québécois,2023,461427.06,6243,5155,1088,393492.57,67934.49,0.1742751882107961,0.14722693116437516,2023-07-14
Québec solidaire,2023,129521.74,1735,1405,330,109211.79,20309.95,0.19020172910662825,0.15680726648669174,2023-07-14
