entite_politique,parti_origine,n,date
Coalition avenir Québec,Parti conservateur du Québec,7,2023-12-12
Coalition avenir Québec,Parti libéral du Québec,42,2023-12-12
Coalition avenir Québec,Parti québécois,22,2023-12-12
Coalition avenir Québec,Québec solidaire,5,2023-12-12
Parti conservateur du Québec,Coalition avenir Québec,1,2023-12-12
Parti conservateur du Québec,Québec solidaire,1,2023-12-12
Parti libéral du Québec,Coalition avenir Québec,11,2023-12-12
Parti libéral du Québec,Parti conservateur du Québec,4,2023-12-12
Parti libéral du Québec,Parti québécois,1,2023-12-12
Parti libéral du Québec,Québec solidaire,2,2023-12-12
Parti québécois,Coalition avenir Québec,21,2023-12-12
Parti québécois,Parti conservateur du Québec,6,2023-12-12
Parti québécois,Québec solidaire,22,2023-12-12
Québec solidaire,Parti québécois,2,2023-12-12
