entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,445564.86,5061,3586,1475,320398,125166.86,0.29144437858130806,0.28091726084503166,2023-08-08
Parti conservateur du Québec,2023,42212.6,740,519,221,31868.12,10344.48,0.29864864864864865,0.24505668923496776,2023-08-08
Parti libéral du Québec,2023,134275.54,1719,1214,505,97156.21,37119.33,0.2937754508435137,0.2764414874071629,2023-08-08
Parti québécois,2023,487713.3,6606,5431,1175,414468.82,73244.48,0.17786860429912202,0.15017937792551483,2023-08-08
Québec solidaire,2023,134612.4,1788,1439,349,113438.46,21173.94,0.19519015659955258,0.157295613182738,2023-08-08
