entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,402903.73,4600,3293,1307,293133,109770.73,0.2841304347826087,0.2724490289528965,2023-07-02
Parti conservateur du Québec,2023,32360.81,528,390,138,25154.33,7206.48,0.26136363636363635,0.22269158281266752,2023-07-02
Parti libéral du Québec,2023,91209.69,1104,779,325,64733.69,26476,0.29438405797101447,0.2902761757001915,2023-07-02
Parti québécois,2023,430565.76,5819,4833,986,368955.6,61610.16,0.16944492180787077,0.1430911738081542,2023-07-02
Québec solidaire,2023,120949.66,1632,1337,295,102552.29,18397.37,0.18075980392156862,0.15210766198102582,2023-07-02
