entite_politique,annee_financiere,co_circ,nm_circ,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,104,Mégantic,4160,48,43,5,3805,355,0.10416666666666667,0.08533653846153846,2023-06-30
Coalition avenir Québec,2023,110,Saint-François,2230,26,25,1,2130,100,0.038461538461538464,0.04484304932735426,2023-06-30
Coalition avenir Québec,2023,116,Sherbrooke,1895,23,21,2,1775,120,0.08695652173913043,0.0633245382585752,2023-06-30
Coalition avenir Québec,2023,120,Orford,2430,28,23,5,2175,255,0.17857142857142858,0.10493827160493827,2023-06-30
Coalition avenir Québec,2023,126,Johnson,1715,22,17,5,1360,355,0.22727272727272727,0.20699708454810495,2023-06-30
Coalition avenir Québec,2023,132,Richmond,2460,28,26,2,2400,60,0.07142857142857142,0.024390243902439025,2023-06-30
Coalition avenir Québec,2023,138,Drummond-Bois-Francs,1830,22,21,1,1730,100,0.045454545454545456,0.0546448087431694,2023-06-30
Coalition avenir Québec,2023,144,Arthabaska,5655,62,56,6,5205,450,0.0967741935483871,0.07957559681697612,2023-06-30
Coalition avenir Québec,2023,150,Nicolet-Bécancour,3735,42,35,7,3125,610,0.16666666666666666,0.16331994645247658,2023-06-30
Coalition avenir Québec,2023,204,Brome-Missisquoi,4990,60,50,10,4160,830,0.16666666666666666,0.16633266533066132,2023-06-30
Coalition avenir Québec,2023,206,Granby,3662,47,39,8,3165,497,0.1702127659574468,0.1357181867831786,2023-06-30
Coalition avenir Québec,2023,210,Iberville,4960,83,39,44,3415,1545,0.5301204819277109,0.31149193548387094,2023-06-30
Coalition avenir Québec,2023,212,Saint-Jean,4330,53,35,18,3075,1255,0.33962264150943394,0.28983833718244806,2023-06-30
Coalition avenir Québec,2023,216,Huntingdon,2630,30,21,9,1920,710,0.3,0.26996197718631176,2023-06-30
Coalition avenir Québec,2023,218,Beauharnois,7682,84,60,24,5900,1782,0.2857142857142857,0.23197084092684198,2023-06-30
Coalition avenir Québec,2023,220,Soulanges,4200,45,28,17,2800,1400,0.37777777777777777,0.3333333333333333,2023-06-30
Coalition avenir Québec,2023,224,Vaudreuil,1480,18,13,5,1175,305,0.2777777777777778,0.20608108108108109,2023-06-30
Coalition avenir Québec,2023,226,Châteauguay,3070,41,22,19,1710,1360,0.4634146341463415,0.44299674267100975,2023-06-30
Coalition avenir Québec,2023,230,Sanguinet,1715,20,16,4,1455,260,0.2,0.15160349854227406,2023-06-30
Coalition avenir Québec,2023,232,La Prairie,4275,45,28,17,2575,1700,0.37777777777777777,0.39766081871345027,2023-06-30
Coalition avenir Québec,2023,236,La Pinière,1910,23,10,13,1000,910,0.5652173913043478,0.47643979057591623,2023-06-30
Coalition avenir Québec,2023,238,Chambly,4005,48,30,18,2785,1220,0.375,0.3046192259675406,2023-06-30
Coalition avenir Québec,2023,240,Vachon,2220,26,17,9,1465,755,0.34615384615384615,0.3400900900900901,2023-06-30
Coalition avenir Québec,2023,244,Laporte,3325,36,25,11,2225,1100,0.3055555555555556,0.3308270676691729,2023-06-30
Coalition avenir Québec,2023,246,Marie-Victorin,2915,35,23,12,1790,1125,0.34285714285714286,0.38593481989708406,2023-06-30
Coalition avenir Québec,2023,250,Taillon,3310,37,26,11,2290,1020,0.2972972972972973,0.3081570996978852,2023-06-30
Coalition avenir Québec,2023,252,Montarville,5110,54,42,12,3960,1150,0.2222222222222222,0.22504892367906065,2023-06-30
Coalition avenir Québec,2023,256,Verchères,4560,56,38,18,3445,1115,0.32142857142857145,0.24451754385964913,2023-06-30
Coalition avenir Québec,2023,258,Borduas,4665,51,40,11,3780,885,0.21568627450980393,0.18971061093247588,2023-06-30
Coalition avenir Québec,2023,260,Saint-Hyacinthe,1640,18,17,1,1620,20,0.05555555555555555,0.012195121951219513,2023-06-30
Coalition avenir Québec,2023,264,Richelieu,2840,35,32,3,2615,225,0.08571428571428572,0.07922535211267606,2023-06-30
Coalition avenir Québec,2023,300,Verdun,3785,42,24,18,2235,1550,0.42857142857142855,0.4095112285336856,2023-06-30
Coalition avenir Québec,2023,304,Marguerite-Bourgeoys,775,10,7,3,650,125,0.3,0.16129032258064516,2023-06-30
Coalition avenir Québec,2023,306,Marquette,1225,13,9,4,900,325,0.3076923076923077,0.2653061224489796,2023-06-30
Coalition avenir Québec,2023,310,Jacques-Cartier,520,6,5,1,420,100,0.16666666666666666,0.19230769230769232,2023-06-30
Coalition avenir Québec,2023,312,Nelligan,685,11,9,2,485,200,0.18181818181818182,0.291970802919708,2023-06-30
Coalition avenir Québec,2023,316,Robert-Baldwin,700,8,4,4,300,400,0.5,0.5714285714285714,2023-06-30
Coalition avenir Québec,2023,318,Saint-Laurent,1725,18,10,8,925,800,0.4444444444444444,0.463768115942029,2023-06-30
Coalition avenir Québec,2023,320,D'Arcy-McGee,640,7,6,1,540,100,0.14285714285714285,0.15625,2023-06-30
Coalition avenir Québec,2023,324,Notre-Dame-de-Grâce,940,11,6,5,600,340,0.45454545454545453,0.3617021276595745,2023-06-30
Coalition avenir Québec,2023,326,Saint-Henri-Sainte-Anne,3125,30,23,7,2500,625,0.23333333333333334,0.2,2023-06-30
Coalition avenir Québec,2023,330,Sainte-Marie-Saint-Jacques,1730,20,13,7,1105,625,0.35,0.36127167630057805,2023-06-30
Coalition avenir Québec,2023,332,Westmount-Saint-Louis,3300,33,21,12,2100,1200,0.36363636363636365,0.36363636363636365,2023-06-30
Coalition avenir Québec,2023,336,Mont-Royal-Outremont,4900,51,39,12,3700,1200,0.23529411764705882,0.24489795918367346,2023-06-30
Coalition avenir Québec,2023,338,Acadie,900,9,5,4,500,400,0.4444444444444444,0.4444444444444444,2023-06-30
Coalition avenir Québec,2023,340,Maurice-Richard,2225,23,17,6,1700,525,0.2608695652173913,0.23595505617977527,2023-06-30
Coalition avenir Québec,2023,344,Laurier-Dorion,900,9,7,2,700,200,0.2222222222222222,0.2222222222222222,2023-06-30
Coalition avenir Québec,2023,346,Gouin,1635,19,14,5,1135,500,0.2631578947368421,0.3058103975535168,2023-06-30
