entite_politique,transfuges_entrants,transfuges_sortants,date
Parti québécois,48,25,2023-11-25
Québec solidaire,1,29,2023-11-25
Coalition avenir Québec,68,32,2023-11-24
Parti conservateur du Québec,2,15,2023-11-24
Parti libéral du Québec,16,34,2023-11-24
Parti québécois,48,25,2023-11-24
Québec solidaire,1,29,2023-11-24
Coalition avenir Québec,67,33,2023-11-23
Parti conservateur du Québec,2,15,2023-11-23
Parti libéral du Québec,17,34,2023-11-23
Parti québécois,48,24,2023-11-23
Québec solidaire,1,29,2023-11-23
Coalition avenir Québec,66,33,2023-11-22
Parti conservateur du Québec,2,15,2023-11-22
Parti libéral du Québec,17,33,2023-11-22
Parti québécois,46,24,2023-11-22
Québec solidaire,1,27,2023-11-22
Coalition avenir Québec,66,33,2023-11-21
Parti conservateur du Québec,2,15,2023-11-21
Parti libéral du Québec,17,33,2023-11-21
Parti québécois,46,24,2023-11-21
Québec solidaire,1,27,2023-11-21
Coalition avenir Québec,65,33,2023-11-20
Parti conservateur du Québec,2,14,2023-11-20
Parti libéral du Québec,17,33,2023-11-20
Parti québécois,45,23,2023-11-20
Québec solidaire,1,27,2023-11-20
Coalition avenir Québec,65,33,2023-11-19
Parti conservateur du Québec,2,14,2023-11-19
Parti libéral du Québec,17,33,2023-11-19
Parti québécois,45,23,2023-11-19
Québec solidaire,1,27,2023-11-19
Coalition avenir Québec,65,33,2023-11-18
Parti conservateur du Québec,2,14,2023-11-18
Parti libéral du Québec,17,33,2023-11-18
Parti québécois,45,23,2023-11-18
Québec solidaire,1,27,2023-11-18
Coalition avenir Québec,65,33,2023-11-17
Parti conservateur du Québec,2,14,2023-11-17
Parti libéral du Québec,17,33,2023-11-17
Parti québécois,45,23,2023-11-17
Québec solidaire,1,27,2023-11-17
Coalition avenir Québec,64,33,2023-11-16
Parti conservateur du Québec,2,14,2023-11-16
Parti libéral du Québec,17,32,2023-11-16
Parti québécois,45,23,2023-11-16
Québec solidaire,1,27,2023-11-16
Coalition avenir Québec,62,33,2023-11-15
Parti conservateur du Québec,2,14,2023-11-15
Parti libéral du Québec,17,31,2023-11-15
Parti québécois,45,22,2023-11-15
Québec solidaire,1,27,2023-11-15
Coalition avenir Québec,62,33,2023-11-14
Parti conservateur du Québec,2,14,2023-11-14
Parti libéral du Québec,17,31,2023-11-14
Parti québécois,44,22,2023-11-14
Québec solidaire,1,26,2023-11-14
Coalition avenir Québec,61,33,2023-11-13
Parti conservateur du Québec,2,14,2023-11-13
Parti libéral du Québec,17,31,2023-11-13
Parti québécois,43,21,2023-11-13
Québec solidaire,1,25,2023-11-13
Coalition avenir Québec,61,33,2023-11-12
Parti conservateur du Québec,2,14,2023-11-12
Parti libéral du Québec,17,31,2023-11-12
Parti québécois,43,21,2023-11-12
Québec solidaire,1,25,2023-11-12
Coalition avenir Québec,61,33,2023-11-11
Parti conservateur du Québec,2,14,2023-11-11
Parti libéral du Québec,17,31,2023-11-11
Parti québécois,43,21,2023-11-11
Québec solidaire,1,25,2023-11-11
Coalition avenir Québec,60,32,2023-11-10
Parti conservateur du Québec,2,14,2023-11-10
Parti libéral du Québec,17,31,2023-11-10
Parti québécois,42,20,2023-11-10
Québec solidaire,1,25,2023-11-10
Coalition avenir Québec,57,32,2023-11-09
Parti conservateur du Québec,2,14,2023-11-09
Parti libéral du Québec,17,29,2023-11-09
Parti québécois,42,19,2023-11-09
Québec solidaire,1,25,2023-11-09
Coalition avenir Québec,57,32,2023-11-08
Parti conservateur du Québec,2,14,2023-11-08
Parti libéral du Québec,17,29,2023-11-08
Parti québécois,42,19,2023-11-08
