entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,438784.23,4993,3533,1460,315113,123671.23,0.2924093731223713,0.28184976018851,2023-07-26
Parti conservateur du Québec,2023,41609.27,731,516,215,31619.79,9989.48,0.29411764705882354,0.2400782325669256,2023-07-26
Parti libéral du Québec,2023,120112.28,1565,1097,468,86211.28,33901,0.2990415335463259,0.28224424679974436,2023-07-26
Parti québécois,2023,474855,6419,5296,1123,404403.85,70451.15,0.17494936906060135,0.1483635004369755,2023-07-26
Québec solidaire,2023,132358.59,1771,1428,343,111549.31,20809.28,0.19367588932806323,0.1572189610058554,2023-07-26
