entite_politique,annee_financiere,co_circ,nm_circ,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,104,Mégantic,3065,35,33,2,2950,115,0.05714285714285714,0.037520391517128875,2023-05-17
Coalition avenir Québec,2023,110,Saint-François,1480,18,17,1,1380,100,0.05555555555555555,0.06756756756756757,2023-05-17
Coalition avenir Québec,2023,116,Sherbrooke,1295,17,15,2,1175,120,0.11764705882352941,0.09266409266409266,2023-05-17
Coalition avenir Québec,2023,120,Orford,1730,21,16,5,1475,255,0.23809523809523808,0.14739884393063585,2023-05-17
Coalition avenir Québec,2023,126,Johnson,965,13,11,2,860,105,0.15384615384615385,0.10880829015544041,2023-05-17
Coalition avenir Québec,2023,132,Richmond,1610,19,18,1,1600,10,0.05263157894736842,0.006211180124223602,2023-05-17
Coalition avenir Québec,2023,138,Drummond-Bois-Francs,1300,16,16,0,1300,0,0,0,2023-05-17
Coalition avenir Québec,2023,144,Arthabaska,4405,49,45,4,4155,250,0.08163265306122448,0.056753688989784334,2023-05-17
Coalition avenir Québec,2023,150,Nicolet-Bécancour,2485,28,25,3,2275,210,0.10714285714285714,0.08450704225352113,2023-05-17
Coalition avenir Québec,2023,204,Brome-Missisquoi,4000,48,40,8,3320,680,0.16666666666666666,0.17,2023-05-17
Coalition avenir Québec,2023,206,Granby,2497,33,27,6,2200,297,0.18181818181818182,0.11894273127753303,2023-05-17
Coalition avenir Québec,2023,210,Iberville,3490,45,30,15,2760,730,0.3333333333333333,0.20916905444126074,2023-05-17
Coalition avenir Québec,2023,212,Saint-Jean,2975,34,26,8,2175,800,0.23529411764705882,0.2689075630252101,2023-05-17
Coalition avenir Québec,2023,216,Huntingdon,2010,23,18,5,1660,350,0.21739130434782608,0.17412935323383086,2023-05-17
Coalition avenir Québec,2023,218,Beauharnois,4182,47,35,12,3410,772,0.2553191489361702,0.18460066953610713,2023-05-17
Coalition avenir Québec,2023,220,Soulanges,2575,28,20,8,2000,575,0.2857142857142857,0.22330097087378642,2023-05-17
Coalition avenir Québec,2023,224,Vaudreuil,1225,14,12,2,1150,75,0.14285714285714285,0.061224489795918366,2023-05-17
Coalition avenir Québec,2023,226,Châteauguay,1725,22,15,7,1210,515,0.3181818181818182,0.2985507246376812,2023-05-17
Coalition avenir Québec,2023,230,Sanguinet,1110,13,11,2,1050,60,0.15384615384615385,0.05405405405405406,2023-05-17
Coalition avenir Québec,2023,232,La Prairie,3975,41,25,16,2375,1600,0.3902439024390244,0.4025157232704403,2023-05-17
Coalition avenir Québec,2023,236,La Pinière,1485,17,6,11,600,885,0.6470588235294118,0.5959595959595959,2023-05-17
Coalition avenir Québec,2023,238,Chambly,3455,39,26,13,2435,1020,0.3333333333333333,0.2952243125904486,2023-05-17
Coalition avenir Québec,2023,240,Vachon,2125,25,16,9,1370,755,0.36,0.3552941176470588,2023-05-17
Coalition avenir Québec,2023,244,Laporte,2825,31,21,10,1825,1000,0.3225806451612903,0.35398230088495575,2023-05-17
Coalition avenir Québec,2023,246,Marie-Victorin,2915,35,23,12,1790,1125,0.34285714285714286,0.38593481989708406,2023-05-17
Coalition avenir Québec,2023,250,Taillon,2840,31,21,10,1840,1000,0.3225806451612903,0.352112676056338,2023-05-17
Coalition avenir Québec,2023,252,Montarville,4185,44,33,11,3135,1050,0.25,0.25089605734767023,2023-05-17
Coalition avenir Québec,2023,256,Verchères,3890,47,31,16,2820,1070,0.3404255319148936,0.2750642673521851,2023-05-17
Coalition avenir Québec,2023,258,Borduas,3920,42,32,10,3055,865,0.23809523809523808,0.22066326530612246,2023-05-17
Coalition avenir Québec,2023,260,Saint-Hyacinthe,1340,15,14,1,1320,20,0.06666666666666667,0.014925373134328358,2023-05-17
Coalition avenir Québec,2023,264,Richelieu,2400,29,26,3,2175,225,0.10344827586206896,0.09375,2023-05-17
Coalition avenir Québec,2023,300,Verdun,2700,30,18,12,1675,1025,0.4,0.37962962962962965,2023-05-17
Coalition avenir Québec,2023,304,Marguerite-Bourgeoys,705,8,6,2,600,105,0.25,0.14893617021276595,2023-05-17
Coalition avenir Québec,2023,306,Marquette,825,9,6,3,600,225,0.3333333333333333,0.2727272727272727,2023-05-17
Coalition avenir Québec,2023,310,Jacques-Cartier,420,5,4,1,320,100,0.2,0.23809523809523808,2023-05-17
Coalition avenir Québec,2023,312,Nelligan,580,9,8,1,480,100,0.1111111111111111,0.1724137931034483,2023-05-17
Coalition avenir Québec,2023,316,Robert-Baldwin,550,6,2,4,150,400,0.6666666666666666,0.7272727272727273,2023-05-17
Coalition avenir Québec,2023,318,Saint-Laurent,1125,12,8,4,725,400,0.3333333333333333,0.35555555555555557,2023-05-17
Coalition avenir Québec,2023,320,D'Arcy-McGee,640,7,6,1,540,100,0.14285714285714285,0.15625,2023-05-17
Coalition avenir Québec,2023,324,Notre-Dame-de-Grâce,740,9,6,3,600,140,0.3333333333333333,0.1891891891891892,2023-05-17
Coalition avenir Québec,2023,326,Saint-Henri-Sainte-Anne,2425,23,18,5,2000,425,0.21739130434782608,0.17525773195876287,2023-05-17
Coalition avenir Québec,2023,330,Sainte-Marie-Saint-Jacques,1180,14,8,6,655,525,0.42857142857142855,0.4449152542372881,2023-05-17
Coalition avenir Québec,2023,332,Westmount-Saint-Louis,2500,25,16,9,1600,900,0.36,0.36,2023-05-17
Coalition avenir Québec,2023,336,Mont-Royal-Outremont,2850,29,23,6,2250,600,0.20689655172413793,0.21052631578947367,2023-05-17
Coalition avenir Québec,2023,338,Acadie,700,7,5,2,500,200,0.2857142857142857,0.2857142857142857,2023-05-17
Coalition avenir Québec,2023,340,Maurice-Richard,1925,20,15,5,1500,425,0.25,0.22077922077922077,2023-05-17
Coalition avenir Québec,2023,344,Laurier-Dorion,700,7,6,1,600,100,0.14285714285714285,0.14285714285714285,2023-05-17
Coalition avenir Québec,2023,346,Gouin,1335,16,12,4,935,400,0.25,0.299625468164794,2023-05-17
Coalition avenir Québec,2023,350,Mercier,1150,12,10,2,950,200,0.16666666666666666,0.17391304347826086,2023-05-17
Coalition avenir Québec,2023,352,Hochelaga-Maisonneuve,1750,18,14,4,1350,400,0.2222222222222222,0.22857142857142856,2023-05-17
Coalition avenir Québec,2023,356,Rosemont,1430,17,11,6,985,445,0.35294117647058826,0.3111888111888112,2023-05-17
Coalition avenir Québec,2023,358,Viau,450,5,2,3,150,300,0.6,0.6666666666666666,2023-05-17
