entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,432144.23,4922,3485,1437,310773,121371.23,0.29195449004469726,0.2808581523812085,2023-07-18
Parti conservateur du Québec,2023,41092.14,725,512,213,31217.66,9874.48,0.29379310344827586,0.24030094319740952,2023-07-18
Parti libéral du Québec,2023,114996.32,1498,1055,443,82905.32,32091,0.29572763684913217,0.27906110386836724,2023-07-18
Parti québécois,2023,466525.39,6306,5206,1100,397530.9,68994.49,0.1744370440849984,0.14789010733156455,2023-07-18
Québec solidaire,2023,131343.07,1763,1424,339,110603.12,20739.95,0.19228587634713556,0.15790669427781762,2023-07-18
