entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,801494,8805,5316,3489,488973,312521,0.396252129471891,0.38992306866926013,2024-01-05
Parti conservateur du Québec,2023,55901.59,1071,723,348,41285.44,14616.15,0.32492997198879553,0.2614621516132189,2024-01-05
Parti libéral du Québec,2023,264469.67,3184,2027,1157,172470.38,91999.29,0.3633793969849246,0.34786329184741677,2024-01-05
Parti québécois,2023,740672.84,9903,7779,2124,603718.17,136954.67,0.2144804604665253,0.1849057540708527,2024-01-05
Québec solidaire,2023,255602.3,3439,2526,913,203979.34,51622.96,0.26548415236987494,0.2019659447508884,2024-01-05
