entite_politique,annee_financiere,co_circ,nm_circ,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,104,Mégantic,12290,128,96,32,9235,3055,0.25,0.2485760781122864,2023-12-06
Coalition avenir Québec,2023,110,Saint-François,5180,56,45,11,4080,1100,0.19642857142857142,0.21235521235521235,2023-12-06
Coalition avenir Québec,2023,116,Sherbrooke,3545,40,28,12,2425,1120,0.3,0.3159379407616361,2023-12-06
Coalition avenir Québec,2023,120,Orford,9555,103,59,44,5745,3810,0.42718446601941745,0.3987441130298273,2023-12-06
Coalition avenir Québec,2023,126,Johnson,5095,56,36,20,3260,1835,0.35714285714285715,0.3601570166830226,2023-12-06
Coalition avenir Québec,2023,132,Richmond,7165,76,45,31,4280,2885,0.40789473684210525,0.4026517794836008,2023-12-06
Coalition avenir Québec,2023,138,Drummond-Bois-Francs,5755,60,48,12,4555,1200,0.2,0.20851433536055602,2023-12-06
Coalition avenir Québec,2023,144,Arthabaska,7215,79,68,11,6265,950,0.13924050632911392,0.13167013167013167,2023-12-06
Coalition avenir Québec,2023,150,Nicolet-Bécancour,9625,100,73,27,6925,2700,0.27,0.2805194805194805,2023-12-06
Coalition avenir Québec,2023,204,Brome-Missisquoi,12095,130,95,35,8825,3270,0.2692307692307692,0.27035965274906987,2023-12-06
Coalition avenir Québec,2023,206,Granby,7092,84,66,18,5775,1317,0.21428571428571427,0.18570219966159052,2023-12-06
Coalition avenir Québec,2023,210,Iberville,12540,157,71,86,6735,5805,0.5477707006369427,0.46291866028708134,2023-12-06
Coalition avenir Québec,2023,212,Saint-Jean,9540,108,57,51,5075,4465,0.4722222222222222,0.46802935010482183,2023-12-06
Coalition avenir Québec,2023,216,Huntingdon,8840,94,49,45,4595,4245,0.4787234042553192,0.4802036199095023,2023-12-06
Coalition avenir Québec,2023,218,Beauharnois,9217,101,69,32,6700,2517,0.31683168316831684,0.2730823478355213,2023-12-06
Coalition avenir Québec,2023,220,Soulanges,7700,80,44,36,4400,3300,0.45,0.42857142857142855,2023-12-06
Coalition avenir Québec,2023,224,Vaudreuil,3165,35,19,16,1825,1340,0.45714285714285713,0.42338072669826227,2023-12-06
Coalition avenir Québec,2023,226,Châteauguay,6435,79,44,35,3645,2790,0.4430379746835443,0.43356643356643354,2023-12-06
Coalition avenir Québec,2023,230,Sanguinet,6970,74,42,32,4055,2915,0.43243243243243246,0.4182209469153515,2023-12-06
Coalition avenir Québec,2023,232,La Prairie,8750,96,52,44,4725,4025,0.4583333333333333,0.46,2023-12-06
Coalition avenir Québec,2023,236,La Pinière,2740,30,11,19,1100,1640,0.6333333333333333,0.5985401459854015,2023-12-06
Coalition avenir Québec,2023,238,Chambly,5720,68,38,30,3510,2210,0.4411764705882353,0.38636363636363635,2023-12-06
Coalition avenir Québec,2023,240,Vachon,3250,40,21,19,1795,1455,0.475,0.44769230769230767,2023-12-06
Coalition avenir Québec,2023,244,Laporte,6700,70,40,30,3725,2975,0.42857142857142855,0.44402985074626866,2023-12-06
Coalition avenir Québec,2023,246,Marie-Victorin,4125,48,30,18,2400,1725,0.375,0.41818181818181815,2023-12-06
Coalition avenir Québec,2023,250,Taillon,5195,58,36,22,3275,1920,0.3793103448275862,0.3695861405197305,2023-12-06
Coalition avenir Québec,2023,252,Montarville,8110,86,57,29,5360,2750,0.3372093023255814,0.33908754623921084,2023-12-06
Coalition avenir Québec,2023,256,Verchères,6860,82,54,28,4945,1915,0.34146341463414637,0.2791545189504373,2023-12-06
Coalition avenir Québec,2023,258,Borduas,8355,91,64,27,6000,2355,0.2967032967032967,0.28186714542190305,2023-12-06
Coalition avenir Québec,2023,260,Saint-Hyacinthe,3540,37,30,7,2920,620,0.1891891891891892,0.1751412429378531,2023-12-06
Coalition avenir Québec,2023,264,Richelieu,6445,71,57,14,5120,1325,0.19718309859154928,0.20558572536850273,2023-12-06
Coalition avenir Québec,2023,300,Verdun,5380,58,36,22,3435,1945,0.3793103448275862,0.36152416356877326,2023-12-06
Coalition avenir Québec,2023,304,Marguerite-Bourgeoys,1075,13,7,6,700,375,0.46153846153846156,0.3488372093023256,2023-12-06
Coalition avenir Québec,2023,306,Marquette,1625,17,12,5,1200,425,0.29411764705882354,0.26153846153846155,2023-12-06
Coalition avenir Québec,2023,310,Jacques-Cartier,525,7,5,2,420,105,0.2857142857142857,0.2,2023-12-06
Coalition avenir Québec,2023,312,Nelligan,1145,16,11,5,665,480,0.3125,0.4192139737991266,2023-12-06
Coalition avenir Québec,2023,316,Robert-Baldwin,1500,16,8,8,700,800,0.5,0.5333333333333333,2023-12-06
Coalition avenir Québec,2023,318,Saint-Laurent,3830,40,22,18,2030,1800,0.45,0.4699738903394256,2023-12-06
Coalition avenir Québec,2023,320,D'Arcy-McGee,2140,22,8,14,740,1400,0.6363636363636364,0.6542056074766355,2023-12-06
Coalition avenir Québec,2023,324,Notre-Dame-de-Grâce,1840,20,10,10,1000,840,0.5,0.45652173913043476,2023-12-06
Coalition avenir Québec,2023,326,Saint-Henri-Sainte-Anne,4185,40,28,12,3100,1085,0.3,0.25925925925925924,2023-12-06
Coalition avenir Québec,2023,330,Sainte-Marie-Saint-Jacques,2450,27,16,11,1475,975,0.4074074074074074,0.3979591836734694,2023-12-06
Coalition avenir Québec,2023,332,Westmount-Saint-Louis,5600,56,33,23,3300,2300,0.4107142857142857,0.4107142857142857,2023-12-06
Coalition avenir Québec,2023,336,Mont-Royal-Outremont,8200,84,56,28,5400,2800,0.3333333333333333,0.34146341463414637,2023-12-06
Coalition avenir Québec,2023,338,Acadie,1930,20,10,10,1000,930,0.5,0.48186528497409326,2023-12-06
Coalition avenir Québec,2023,340,Maurice-Richard,3305,35,24,11,2350,955,0.3142857142857143,0.28895612708018154,2023-12-06
Coalition avenir Québec,2023,344,Laurier-Dorion,925,10,7,3,700,225,0.3,0.24324324324324326,2023-12-06
Coalition avenir Québec,2023,346,Gouin,2235,25,17,8,1435,800,0.32,0.3579418344519016,2023-12-06
Coalition avenir Québec,2023,350,Mercier,2050,21,12,9,1150,900,0.42857142857142855,0.43902439024390244,2023-12-06
Coalition avenir Québec,2023,352,Hochelaga-Maisonneuve,2400,25,17,8,1650,750,0.32,0.3125,2023-12-06
Coalition avenir Québec,2023,356,Rosemont,3155,36,21,15,1860,1295,0.4166666666666667,0.410459587955626,2023-12-06
Coalition avenir Québec,2023,358,Viau,575,7,2,5,150,425,0.7142857142857143,0.7391304347826086,2023-12-06
Coalition avenir Québec,2023,360,Bourassa-Sauvé,415,6,1,5,15,400,0.8333333333333334,0.963855421686747,2023-12-06
Coalition avenir Québec,2023,364,Jeanne-Mance-Viger,100,1,1,0,100,0,0,0,2023-12-06
Coalition avenir Québec,2023,366,Anjou-Louis-Riel,4195,48,29,19,2620,1575,0.3958333333333333,0.37544696066746125,2023-12-06
Coalition avenir Québec,2023,370,Camille-Laurin,2900,34,25,9,2185,715,0.2647058823529412,0.24655172413793103,2023-12-06
Coalition avenir Québec,2023,380,Pointe-aux-Trembles,5280,61,45,16,3755,1525,0.26229508196721313,0.28882575757575757,2023-12-06
Coalition avenir Québec,2023,390,LaFontaine,705,8,5,3,405,300,0.375,0.425531914893617,2023-12-06
Coalition avenir Québec,2023,454,Laval-des-Rapides,3310,42,18,24,1750,1560,0.5714285714285714,0.47129909365558914,2023-12-06
Coalition avenir Québec,2023,460,Chomedey,3190,36,22,14,2025,1165,0.3888888888888889,0.3652037617554859,2023-12-06
Coalition avenir Québec,2023,466,Fabre,4250,46,34,12,3100,1150,0.2608695652173913,0.27058823529411763,2023-12-06
Coalition avenir Québec,2023,470,Sainte-Rose,3277,37,23,14,2025,1252,0.3783783783783784,0.38205675923100396,2023-12-06
Coalition avenir Québec,2023,476,Vimont,3700,59,26,33,1990,1710,0.559322033898305,0.46216216216216216,2023-12-06
Coalition avenir Québec,2023,482,Mille-Îles,3395,45,24,21,2275,1120,0.4666666666666667,0.32989690721649484,2023-12-06
Coalition avenir Québec,2023,502,Groulx,4500,49,34,15,3110,1390,0.30612244897959184,0.3088888888888889,2023-12-06
Coalition avenir Québec,2023,508,Deux-Montagnes,4755,53,38,15,3545,1210,0.2830188679245283,0.2544689800210305,2023-12-06
Coalition avenir Québec,2023,514,Mirabel,8360,92,56,36,4965,3395,0.391304347826087,0.4061004784688995,2023-12-06
Coalition avenir Québec,2023,520,Argenteuil,4740,57,35,22,2950,1790,0.38596491228070173,0.37763713080168776,2023-12-06
Coalition avenir Québec,2023,526,Saint-Jérôme,6235,67,39,28,3435,2800,0.417910447761194,0.4490777866880513,2023-12-06
Coalition avenir Québec,2023,530,Les Plaines,6340,70,40,30,3715,2625,0.42857142857142855,0.4140378548895899,2023-12-06
Coalition avenir Québec,2023,536,Blainville,11170,116,78,38,7515,3655,0.3275862068965517,0.3272157564905998,2023-12-06
Coalition avenir Québec,2023,542,Terrebonne,9275,102,64,38,5790,3485,0.37254901960784315,0.3757412398921833,2023-12-06
Coalition avenir Québec,2023,548,Masson,8185,91,64,27,5885,2300,0.2967032967032967,0.28100183262064754,2023-12-06
Coalition avenir Québec,2023,554,L'Assomption,6390,72,60,12,5265,1125,0.16666666666666666,0.176056338028169,2023-12-06
Coalition avenir Québec,2023,560,Repentigny,11045,127,98,29,8615,2430,0.2283464566929134,0.22000905387052966,2023-12-06
Coalition avenir Québec,2023,566,Berthier,4955,55,40,15,3675,1280,0.2727272727272727,0.25832492431886983,2023-12-06
Coalition avenir Québec,2023,570,Joliette,7440,79,57,22,5445,1995,0.27848101265822783,0.26814516129032256,2023-12-06
Coalition avenir Québec,2023,576,Rousseau,8075,91,56,35,4725,3350,0.38461538461538464,0.4148606811145511,2023-12-06
Coalition avenir Québec,2023,582,Prévost,8615,90,53,37,5035,3580,0.4111111111111111,0.4155542658154382,2023-12-06
Coalition avenir Québec,2023,588,Bertrand,7815,89,46,43,4115,3700,0.48314606741573035,0.473448496481126,2023-12-06
Coalition avenir Québec,2023,594,Labelle,9745,109,65,44,5745,4000,0.4036697247706422,0.41046690610569525,2023-12-06
Coalition avenir Québec,2023,602,Hull,7500,77,38,39,3725,3775,0.5064935064935064,0.5033333333333333,2023-12-06
Coalition avenir Québec,2023,608,Pontiac,4705,51,39,12,3580,1125,0.23529411764705882,0.23910733262486716,2023-12-06
Coalition avenir Québec,2023,614,Gatineau,11230,128,78,50,6585,4645,0.390625,0.41362422083704364,2023-12-06
Coalition avenir Québec,2023,620,Chapleau,6635,71,51,20,4695,1940,0.28169014084507044,0.292388847023361,2023-12-06
Coalition avenir Québec,2023,626,Papineau,7570,80,47,33,4380,3190,0.4125,0.42140026420079263,2023-12-06
Coalition avenir Québec,2023,636,Rouyn-Noranda-Témiscamingue,9530,99,37,62,3550,5980,0.6262626262626263,0.6274921301154249,2023-12-06
Coalition avenir Québec,2023,642,Abitibi-Ouest,5245,57,40,17,3625,1620,0.2982456140350877,0.3088655862726406,2023-12-06
Coalition avenir Québec,2023,648,Abitibi-Est,695,10,8,2,590,105,0.2,0.1510791366906475,2023-12-06
Coalition avenir Québec,2023,660,Trois-Rivières,8919,98,60,38,5490,3429,0.3877551020408163,0.384460141271443,2023-12-06
Coalition avenir Québec,2023,666,Maskinongé,10197,129,68,61,5275,4922,0.4728682170542636,0.4826909875453565,2023-12-06
Coalition avenir Québec,2023,670,Laviolette-Saint-Maurice,7710,89,47,42,4035,3675,0.47191011235955055,0.4766536964980545,2023-12-06
Coalition avenir Québec,2023,676,Champlain,10658,119,64,55,5558,5100,0.46218487394957986,0.4785137924563708,2023-12-06
Coalition avenir Québec,2023,702,Jean-Talon,9962,105,67,38,6210,3752,0.3619047619047619,0.3766311985545071,2023-12-06
Coalition avenir Québec,2023,708,Louis-Hébert,8885,96,59,37,5505,3380,0.3854166666666667,0.3804164321890827,2023-12-06
Coalition avenir Québec,2023,714,Portneuf,7365,87,78,9,6540,825,0.10344827586206896,0.1120162932790224,2023-12-06
Coalition avenir Québec,2023,720,La Peltrie,5925,67,39,28,3340,2585,0.417910447761194,0.43628691983122364,2023-12-06
Coalition avenir Québec,2023,726,Vanier-Les Rivières,4400,53,31,22,2550,1850,0.41509433962264153,0.42045454545454547,2023-12-06
Coalition avenir Québec,2023,730,Taschereau,8536,88,63,25,6170,2366,0.2840909090909091,0.27717900656044986,2023-12-06
Coalition avenir Québec,2023,736,Jean-Lesage,3400,37,20,17,1950,1450,0.4594594594594595,0.4264705882352941,2023-12-06
Coalition avenir Québec,2023,742,Montmorency,6122,68,38,30,3465,2657,0.4411764705882353,0.43400849395622343,2023-12-06
Coalition avenir Québec,2023,748,Charlesbourg,5875,67,43,24,3905,1970,0.3582089552238806,0.3353191489361702,2023-12-06
