entite_politique,annee_financiere,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,821569,9011,5422,3589,499398,322171,0.3982909776939296,0.39214113482860236,2024-01-22
Parti conservateur du Québec,2023,58786.8,1103,749,354,43625.65,15161.15,0.3209428830462375,0.2579005831241027,2024-01-22
Parti libéral du Québec,2023,275110.3,3311,2107,1204,179952.35,95157.95,0.36363636363636365,0.34589017568589764,2024-01-22
Parti québécois,2023,785029.47,10473,8167,2306,635059.14,149970.33,0.22018523823164327,0.19103783454142173,2024-01-22
Québec solidaire,2023,296571.77,4030,2889,1141,232003.16,64568.61,0.28312655086848637,0.21771664241677485,2024-01-22
